address,symbol,name,decimals
0xa620fb7f14e05c79aaf7e1d3787271e5f5f82d58,PET,PET,18
0x78bf3a9508209ed7fe90ad38af8be6c9316777fd,PTC,Pacific Technology Chain,18
0x1b0ff0050e035166a18446350104fd1ef1525177,INV,InvisiCoin,18
0x3a6b457fbc2c2a26d7f0067d92f741dfa26069d6,GOC,GOCOIN,18
0xb74a0a9cacdfd20aed91a953f91c944196cd1fc4,FDB,fodincoin,18
0x98f1d34c9e4a868941392c6b4bca4b40550363b1,EVO,Evocoin,18
0x7dcfbdfb1903843719dbf57c0a4433f49777bbb5,GFC,Good faith chain,18
0xa04452fcff932c9057b4bdb9c3dafe5310d41e94,COVID,CoronaCoin,18
0xed0951f1ac8f3cce6e2ada9cb67fd5f1883e417a,VVL,VV VAND 1.0,18
0x6f55a4ad49d5580ed9a03a2c4228d8c833401bca,EMN,EtherMoney,18
0x84ffc2cb2109085f44ca159073e27ccd26fe7746,,,
0xebb8aedd3ff50fc66244b7c303e1f55f3002eae0,,,
0x02e60b30fcad61b0bc7b4adb2f14aa643f0dc43c,Wolfeez,Wolfeez,
0x01d8a618ba50232e73b7e0c3254bfa0802a75b56,SS2,Study Sessions,
0x337015737fc17ca24af1366eb02e73a62d27ae38,,,
0xf9841c95b0b69477a5287b2afbf634349e1c3789,,,0
0x4a68fe56053fce3f57d513f305b0b16bc2acace2,,,0
0x258f70865a4876821817841e365becc12904805f,CTT2,CrypotaPay Token2,0
0x957c30ab0426e0c93cd8241e2c60392d08c6ac8e,MOD,Modum Token,0
0xbc82315884f93ed8bc8ab77dc9b3221961d24ec6,ELA,Elastos,0
0x8783a01568919f3b0def660403e45238d759f0a3,PEX,TheToken,0
0xc1549e7f291df39f0cfbcc061ba0a33ec4c4aa93,VET,VET Coin,3
0x4831c1416706be3c7341789cb5ea15985f6335d9,STGC,星币,4
0xa3d37af970a4482255bfe8656b43c8581edf8e81,WSQ,Word super quick,4
0x58acaabdecae237aac6fee5104bbb54f5b420c3c,HRCT,HeroCoinToken,4
0x88261b94b7ede8da3d0347c5e6dd790e22fc60d7,FZB,FZB block chain,4
0xa53ccf10d2a42f6c23b624419dc8e1b7ac5c3463,NATC,NATC,8
0xb9aed0a781319a13d25a7a27a7f79af0a056e420,LCTTC,lottery chips t C,8
0x4989b51d4fcda0980fe8b589ff9de0f9dbc33a2c,MRV,MadRogerVer Token,8
0x086131a40b990e1e1e77fda4c7918e1b56e4b558,HDAO,HyperDAO,8
0x0e8ff16ebb5459b28e15da83a18fa54d2ae59f6a,LUNA,LUNA,12
0xe751f5efd17af6ac22af9aed076c133618b7e481,ZT,Zcash test,18
0x60498f0a2d434b787e851aa2c6cc0fe039b8e0e5,GDC+,GlobalDCash,18
0x32db130a4fde7e05731ebb11bf3984759fe65c64,UZBIT,Uzbekistan blockchain token,18
0x68bf6c2eb51f415b2c78a98b9ecc0c94abda8eaf,WZY,wzy,18
0xbc0e9f237033c77fffaeb2f42a0e9cbeb9ffb907,MKR,MakerDAO,18
0x3308ee36246825428896718ffd689e32dbab8515,DT,DToken,18
0x862564e5a8021d99bdefd84d6a904f18727a1ed6,YMFZ,Ye Ma Fen Zong,18
0xfebe6fdc75edd4629bd96bfb0d251932510f51a4,MFC,Mofa Coin,18
