transaction_hash,transaction_index,from_address,to_address,value,input,output,trace_type,call_type,reward_type,gas,gas_used,subtraces,trace_address,error,status,block_timestamp,block_number,block_hash,trace_id
0x7f1177af15a1b4de8ad809e8907d2b81dd280a7e4f140dc39192e267acfee89b,46,0x51ebf7ff9c1565aaf3fea146baa08aadccdc37d8,0x8018280076d7fa2caa1147e441352e8a89e1ddbe,0,,,suicide,,,,,0,"4,0",,1,1/16/2020 19:48:14,9294187,0x0df559d11fe43c6f537c1f97d6e30dffaa01e39b61f79bd5a3e9d321d4beed75,suicide_0x7f1177af15a1b4de8ad809e8907d2b81dd280a7e4f140dc39192e267acfee89b_4_0
0x88c9285897807c721622a1c314e8367a1e375c3b4dd6d95e0f05dfc052460c1e,51,0x101f693d1ffa365668d165bf0386b027dd79f9da,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,0,2,0",,1,1/16/2020 17:19:30,9293515,0x193fb23d4523e90b206b65d8f48a7014a120441e7b234f084aadf91cc3ebc57f,suicide_0x88c9285897807c721622a1c314e8367a1e375c3b4dd6d95e0f05dfc052460c1e_0_0_2_0
0x4d5447bd094169707411bd03296cddd66a83796b12ad12987624d8b8fa5c381b,63,0x7a54f9a6078e661f19d41bea9c60b7d06623f9df,0x00000000a8f806c754549943b6550a2594c9a126,0,,,suicide,,,,,0,"0,60,0",,1,1/16/2020 23:58:33,9295315,0xc7cbdbf3c3395d840fbf9542c13a2b9911b7accb5de32e080158c7886f141996,suicide_0x4d5447bd094169707411bd03296cddd66a83796b12ad12987624d8b8fa5c381b_0_60_0
0x065282902588f7ac927b2de0098c4e6d4478004cc74abfe66ecb12379f60fad0,46,0xadd67873303a2f8c502546ebd112ded472a22ac5,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"2,23,0",,1,1/16/2020 12:54:27,9292318,0x7f7cbec936a6681d9a0f80d93feb17e86882360f6ab6514ed16de3cbf6d18e91,suicide_0x065282902588f7ac927b2de0098c4e6d4478004cc74abfe66ecb12379f60fad0_2_23_0
0xc982637cdf960be90bfc4bedfe757efb19166f033228ed9daaf8a0f29ad7166a,18,0x94d84dca0ba7b0c0c1447c747f6f44491c9404c2,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"2,2,0",,1,1/16/2020 18:32:42,9293835,0x8c8558d39f7aa90ad5dc72994e727d60f1e9e9dcdaa812076bccce71e07de44e,suicide_0xc982637cdf960be90bfc4bedfe757efb19166f033228ed9daaf8a0f29ad7166a_2_2_0
0x84923f726a276b0d7635ad46f75873565c17d797763c5bdc43104f1a4bc6cb1b,52,0x520c330cecb91474d3f5a66ce76432db99385fdf,0x8018280076d7fa2caa1147e441352e8a89e1ddbe,0,,,suicide,,,,,0,"5,0",,1,1/16/2020 7:18:34,9290810,0xd680fb7d2afaa5eba07d2fa4cf408f1c5c5add679e1a6f8e627536c9e8f858e8,suicide_0x84923f726a276b0d7635ad46f75873565c17d797763c5bdc43104f1a4bc6cb1b_5_0
0x4e33a89f93d35794e7a57b78daaec77087416e14b7dfb33d5c08aa5c05195c78,9,0x15e629f8ed33865540b5a8bca4539b221ab0c124,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"0,8,0",,0,1/16/2020 1:15:18,9289153,0xb6316465a91499caa172d7a1e8dba566fdbeae009be2d28b1f4e6831e9482065,suicide_0x4e33a89f93d35794e7a57b78daaec77087416e14b7dfb33d5c08aa5c05195c78_0_8_0
0xc53df6ade1e23c5cb2dd37ed5fe840879a41a816c75e5d9307b92f2df29a5250,91,0xd500c27f72aa4e6cac7064185295ae72a6c91ca8,0x000000000099bee67b9d593aa8ff5447ef99d8c5,0,,,suicide,,,,,0,"5,0,0",,1,1/16/2020 15:27:47,9292992,0xe2353b4ee1bfbb828fe6006fcde0a1b681920e184e372d07c01d1762542ddf11,suicide_0xc53df6ade1e23c5cb2dd37ed5fe840879a41a816c75e5d9307b92f2df29a5250_5_0_0
0x909a28e7d75cc69c7542f3e50d4aa1661f2d1a6c7e17878263a6cfa5f976ddaf,33,0xb5909bf9a306d3b2b0adc258cdeb60d790703127,0x000000000099bee67b9d593aa8ff5447ef99d8c5,0,,,suicide,,,,,0,"4,6,0",,1,1/16/2020 1:12:55,9289142,0x22400f1c2322eb683767c01bf7d811dc5a234d474bb3bc9fc13af59e8a662874,suicide_0x909a28e7d75cc69c7542f3e50d4aa1661f2d1a6c7e17878263a6cfa5f976ddaf_4_6_0
0xa0a9fadfba3fa15c9960dcddd81969386a318d4a94e3b9260fcb21286be08a9d,2,0x01748e4f9c4bc087bb242a2ff91822f83399c07e,0x000000000099bee67b9d593aa8ff5447ef99d8c5,0,,,suicide,,,,,0,"7,7,0",,1,1/16/2020 15:53:58,9293108,0xa4da21ba89bb377856e3d05db28883c0e663ce8865e87abed8eee650463d3043,suicide_0xa0a9fadfba3fa15c9960dcddd81969386a318d4a94e3b9260fcb21286be08a9d_7_7_0
0xdf576f327dcab2a3823807fcf5658ec49b9e5ad0578d7da3553020f8cfdd7dfa,95,0xe236a85a20d03b8a4830934246e4d673e0405a4f,0x0000000000b3f879cb30fe243b4dfee438691c04,0,,,suicide,,,,,0,"2,6,0",,1,1/16/2020 12:21:55,9292194,0xcf315b484c0623700dd837242657eb4ef5e3cebee8cf9b20aba76d1cebce487d,suicide_0xdf576f327dcab2a3823807fcf5658ec49b9e5ad0578d7da3553020f8cfdd7dfa_2_6_0
