address,symbol,name,decimals,total_supply,block_timestamp,block_number,block_hash
0xedf0270b041ff4284b3d450c39c99221c1d1f913,,,,,11/14/2019 18:07:19,8933836,0x611ddb955b8806377436dfb4ad79895864065023732c06ede31177747544258c
0xf1340453c30497d4c7da4b9b192776b333909b65,,,,,11/18/2019 13:32:29,8956786,0x0f43f3944542f90111b0cbf42acd0244ed636af43971aa8d173d00717141d1ac
0xe3120239e705616f16414501f19fe24f256c09a3,,,,,11/8/2019 18:37:34,8897810,0x55428f2b9d9067caea3796e265b2a579ef6cf761961a1c67c589cc6288190831
0x0cb20b77adbe5cd58fcecc4f4069d04b327862e5,,,,,11/19/2019 3:43:50,8960247,0xd218179e57335a700c568b68bc88bb2f4128f2280337278a7d01f298b166ce80
0xc037f2d079a7e23674b23676e34db9635da289db,,,,,7/16/2018 13:01:50,5974829,0xf3ddab8f4e0925fd22842d624464e5020e30d8d5602c61c707941b300ad7b8bc
0x96f453a38b341a0ee11342289daa69891d043693,,,,,8/13/2017 18:25:46,4153604,0xf31d0de4e015452cedd8e7c5da5728757e76cdc68322e1c5ee65f0a95adca850
0x2204c9c0ceb1610a251539d77ae0b68365526bdc,,,,,11/17/2019 17:42:46,8951779,0xd3bf8bc56fb3dbb0d535fc0cead901945f8491b1e15b1bb4876ee57657a2e955
0xadf48a468c6c057c03c998fc47b312166f415ad0,,,,,10/19/2019 10:07:02,8770637,0x22fafe88fd720642574448fa76a16126b10dd636256191f59b2e04c92537640c
0x78f6bdf54c24c1dac710b1de0ac14b18cd6ec800,,,,,12/22/2018 4:16:16,6930494,0x5a43bf4f1f8f9f2d1adec499314d15b4c3e0ebc97b592c81db3dbb641a3850a3
0x86aebbcd15b15348739afeeeff3ff4db65a904f2,,,,,7/3/2022 6:06:08,15067820,0x42255a5e9bab2996e4cb8cad79c07bcf48560704787d68832ee028d1dbf910da
0xc883e5edcf8a7ff34d0f80e7d4a22cbaa3fdd735,,,,,11/14/2019 6:46:49,8931005,0xbbc4bb470b4525e6c762f703a4093285d54fd6637118b062db9a69b5f119c120
0xf2408a2ef43600c1d35c7a3d922aadf69dc25b7a,,,,,11/19/2019 12:47:01,8962492,0x703706ae3badc0f62efb9b1d50df14bc64abd29b3f301169043769436c8f61c3
0xd7832340383815a8ea18dc81cf5613e91bc59744,,,,,6/15/2018 19:20:29,5794821,0x64e025483a8aa37f5549554cd00b7584ac795814060248e4e0ed7e3e1094db0e
0x9d30009888397056e8302c1da9655528eab99835,,,,,11/6/2019 2:57:50,8881358,0x1db047320e5de77883bbd9d441ce166315d852b04a87d6ad7a1d9434de94e8e4
0xb3c1fabac1d698fe96e99f087c0afc5e74d1c551,,,,,11/20/2019 2:52:04,8965976,0x68464701b78a2e0d568bdc5aaaaf917a2a2f1d83bf6484c231b2a3f2bfeb942d
0xabc9f7942e976a13ee8428fd8bdfeb10178e2d95,OMNI,Omni X,,,3/15/2023 3:39:47,16830690,0x29d1bfb0895245af80bab18b3362e7dd9254a7574453a0909171f6a2139e3eda
0x23522e7220b6f0e52062d172ff00723a26c5df04,,,,,3/18/2017 10:40:35,3373773,0xcd215495f843e35be2dd92765b037c2d19814a06f1ea2214ff4a3db54dc75013
0xeb2b6b3f3fa0ea711ceb2ed77a23baeaf5ac0796,,,,,1/26/2018 10:14:31,4975363,0x27ec81119064d4da6ead79034e0499e73ae27cd9bfd2ab79c38d100f39948c30
0x83a406e9889ac7c0ce250d3683dde0709dc92106,,,,,11/15/2019 0:36:52,8935497,0xad11900825bbaf662d5bea5bb2c1fdd639d4335cda9b6f8ae344741a9b74a780
0xa8b944d52460d7a92adcc92f684fd1f53201f128,,,,,10/29/2019 18:51:00,8835676,0x14dd7d5f1fa19b6a8ca9c0f578947f675edd9c9dc376ad97577b65c55ecb9296
0xabbbdf5226f9b993e5e15a01fcb1b9c9a25987be,HBEAT,Heartbeat,,,1/27/2022 20:27:28,14089864,0xc531f906668d0702a0664eec1cfa443ad15350ea9064b96f81f171fcf60ed1e4
0xe4cb701dd8198b311397d6dd0c6acd65ea8f0122,,,,,11/4/2019 12:26:14,8871311,0xefffc6542b45a0417a86ab8a5e1bde7cea9c39c38d972977973e583f5d2356da
0x77368824812ff6c270561d6ab14086693a25de21,,,,,10/5/2017 19:58:31,4339942,0xd531c796c2a99326b0bf864aacc2a23227f711a18002066b94ed0c83ae5bc5b0
0x2a3a7e3a599cf38d28b2f0f6072f836844c86579,BGP10,BGP10,,,4/14/2018 5:46:29,5437403,0x77d1972a96d6aca1038c750a66dca309620b9aa51521ef8dc03a75aeef370aa6
0x2d6a9ac293feccadf7d86fcab31bfae082ac8cc9,,,,,11/12/2019 23:52:38,8923276,0x6b4019c17d4fa7219d6c3670debbf22fd5e72eadf77d3df310eb630b3877e5b9
0x25d9bef26b6f7018d24d18144fe3c8bfd0d48a53,,,,,10/31/2019 8:17:33,8845399,0x6e48745a48f9873670cb1caef54216edfcaa572e5404c3646224dcbc168b0f37
0xf9fe94ba3c190ec2fedc921dffb6fc3947aef131,,,,,12/8/2019 18:09:32,9073124,0x359d81dc4f577fdb92eefd868e489937a2c9a910cd30ee09cbfe7dd82a89757e
0x1764591069ab755f0e39464fb95cf196f5fbbe05,,,,,10/30/2019 11:14:15,8839948,0x2be35ed6706f164bfddea78128f212b17d30cb4e37a7623e80972a35cc4dd1eb
0x1cda42c559d2eb137103d9a01d1ae736deda3aef,,,,,4/2/2020 9:04:25,9791638,0x5a279bce7c93f561320769fcb0e3c783515a070b73ff0ab3a071d4ba06cd6ca3
0x054ebcd23ae1443a00b694fc09d649970ef422c1,,,,,11/11/2019 1:49:34,8911720,0x1c1d7d2fa5b8fedf3b3f8c03ebe0346073e1cbf4529659edda832c26ecdeec5d
0x63b7a26e0f0089a73e8d66b8ad7fa2c54cd5b8fe,,,,,7/8/2022 18:27:43,15103540,0x613014b9f17530cab473c5a7c3b4acb0cccd5900129fb6808644899440622c2a
0x50e0cb20cd58f9f59cc124f777ac7db94cf5229e,,,,,8/31/2018 4:53:36,6244675,0x3af1ec35c6c60423bb3f69e7c8cf1e36fcca8d7a2f72f83de81909594ecec3d3
0x39622e798ff024021d734088907d8aa4ca960434,,,,,12/26/2017 23:49:13,4803316,0xdbe7c7c137d2b32b4bacffb8eddec407889e7a4b25c3903fb282a1d8486de110
0x0aaed3c6da9373b5075f39b66bfd1e564b31a6a7,,,,,11/21/2019 6:29:08,8972867,0xd3d2f1b026c7df11cf00aabab0ac658bfdf2d2adefd06e1159bcf1d63f302522
0x668cfde68e2fccf867d25173a9348dacb0183422,,,,,10/29/2019 15:38:05,8834806,0x6e548821edc244f639c5aa69b5b70e11883bf34a083fc81d6edf2ba1dbaae99c
0x61ea0d9ed52e404dab2805e53897b7dc27be2b04,,,,,11/6/2019 9:15:32,8882994,0xc1edbee175cba9b710c67b14eac41c16b3d2488687fc7ef826847c19cc23bd74
0x26addc98ff2321a91a776e52be171a963720a42c,,,,,4/2/2020 20:41:01,9794753,0x83ca005e6dee4a5bb4fe3331e23f6b67c3138d34e3acb91a2e4ed68f095e5812
0x0dcfd6d0a85cc8f35fe507fed1dba4318bae8df3,,,,,11/17/2019 23:02:26,8953125,0x917a69a39ec1eca6149ce57cb4c9236164ba84d418bedbdf89dc46211779b6fc
0x1098b3cd6a49c94142100c9131a52cfa2538cb18,,,,,11/20/2019 10:09:32,8967731,0xc6899398b7ff435adae652bc2f2ae514ac9d8225a2f29ea3274cc6401e31485a
0x1943f50e854a17ed58472f73d134f8e122b6a19c,,,,,11/19/2019 17:28:11,8963638,0x72ea8252a28aa4e8bb400557b0f5c69693fedcf2ce56f98eacd84507bfeb0c9c
0xf7c6afc9d99affc88db47d586b2b8921010364a0,,,,,11/4/2019 14:21:04,8871827,0x3355e49fb29ef45fb269a09f5aa55f9dfadc2c286af41ce06e1f63c300f3101b
0x410c89b6b5662aa2ae7de14d29b309b7a2120e3b,,,,,10/18/2019 3:06:50,8762425,0x89611ad2541de4906235ce83851c15bf0c14512f26a19fc802da64df9aa82d1e
0xf01f8bb3cedf868942a9e69b562f0a13fdff81bc,,,,,11/15/2019 9:35:20,8937688,0x49e9fe5bc71c64dbf39e982a12ef51cd16b445dba6d9089f3df62bdb80d0d77d
0x83caeecace9ec5c322c93743b2b370ed58951f5c,,,,,11/1/2019 20:11:03,8854691,0x1049c64a1d62162b996bb19a84304e05ecaf450e424bda4feb4c98f153170583
0xc0e4f1abe99282cc61afba296257baaced37b82a,,,,,1/18/2018 1:19:36,4926538,0x352597503705906fba72c5d52b98433a1817a14f8324091360c21f24edc97af0
0x9c29b543f563b727882b0416d959151e61569443,,,,,11/4/2019 13:47:07,8871675,0xc42c8c48918454f33ea4d09130a1e8060151ab98dfbd4855e8904f044f9e33e8
0x432d0fd32e7b4462b7d4036210b7615f43653148,,,,,11/25/2019 7:12:56,8997164,0xc98412c98233bd12dbaf323bef1f0b923efe9cf9dc861424ce953632a5635a89
0xcbd3c946cc3af34fcdd2ab8a1a465c86a03c3010,,,,,11/2/2019 8:25:54,8857862,0x3681841362cf2210b0eb8b90067f81271295695fd9b4da530d24032d9e097ba5
0xe86f023e8e3956d15225c9fd00adfe9d197e1573,,,,,10/19/2019 9:08:34,8770379,0x137e87436ba16bfc044ceea0faca5193a7c05b2b8ce6f08adf6ff942a9350d0b
0x143c7495acffec8f15273d0153e4397862ef0bf7,,,,,10/20/2019 8:45:13,8776576,0xe413762e94cbb7023ec586d0679891e789c8a55d42f743c4dcf51b9f504bfcb3
0xe49ee2afbe1df16b379421a64ba941761a9f4aff,,,,,11/24/2019 23:37:47,8995262,0x45d7bb63648427d61cf78b85ad352562fc6d29420046cc2cacdf00333fe5b810
0x907c9b744701519633e32d6946d215b224bc26ae,,,,,3/13/2017 9:45:37,3343529,0x9a6b669a086a9ed7d35bb54f99b245f41a8b9b67a9f1e637bf62fba89d12be11
0x0875ee61f0714ee75039574b2a3ce34cde29546a,,,,,11/6/2019 8:56:13,8882917,0xb0ec232ea546448c9d9ca53c560bed6ff28ba6099fac63b813f516ac2abcc945
0xd0a5f49282b83c5a2d42e87cb2047be6d3fd7ddc,,,,,11/15/2019 11:59:49,8938298,0x2ee295ef640ba52e3dcdfa12e93e6ff7bce1cc497f98ed6b72e9d1fe2f739637
0x813328372ca28177fcc29ca0faee47f2f29a5b92,,,,,11/17/2019 9:52:56,8949759,0x4f47721f45fa82509cdaccda52adaa449eee0eddd50454f3483b5732b8aa37a2
0x33540976411534a8d96c715a4ff7f4392d2e52d1,,,,,1/29/2018 19:44:46,4995616,0xd929a0094c09f3acff181d3ac43029f11512475c6bb8490b90082c0c0ee56bb7
0x1183829cff03999f2634190e9532a090664435a2,,,,,11/15/2019 22:02:20,8940842,0x3a0cdd1719183a1b4a2daede7003b920c446c326ae7809089cf63daa4b24f607
0x1effd41a757827dc2a81eca388e9e12f0678c1f3,,,,,11/5/2019 7:18:18,8876230,0x31692331dd831605ff79d329ac2f784b9b67a6a4ee2c627b2480035cfca41bc6
0x8d47a09222fcf6c6303e997437bfa7760758581a,,,,,11/15/2019 14:26:51,8938909,0x977c125330ab6766806c50de8b0bed027e51a84b216400c331d45cf172e3cc6f
0xc96f54782b4fae7b0b442474e9ea65a4c6186fec,,,,,11/1/2019 9:08:39,8851807,0x56497e039d06404a0087ebf5fe8aec4c14e85a82227f1601a76e46244b955b75
0xfc9709e9dc349c7e27e335fd1fa59b0b6a66c7f9,,,,,11/7/2019 2:31:30,8887505,0xeed040e0ed18ba3e9bcde336665da42c8d7d24539181177c384d3d40499f3686
0x03e1319e92258d138a4892aedf0a9420fb7b0152,,,,,10/28/2019 1:35:48,8825022,0xf9d39c67dd4812835580983e7ddb8e9c5a1301896c78f01858f04cc5177aab97
0x079ca51f7f7bca4b971eb8b6f826d0933ac2bb79,,,,,10/28/2019 11:45:45,8827633,0xadf0a5ac9e9ac8da428d10c01cda527ed2d3c86814795f3941075b1679e99a99
0x643776d51cac85dee50e004b0cd8077ced180d00,,,,,7/8/2022 19:21:30,15103805,0x26c1627dd8d9fb6433a4b54d6a0366ccb3001d7a36c843b8eb7fdff66c6ecc16
0x2281beea166701fa977599e8f6e649844cc62352,,,,,10/27/2019 15:04:23,8822273,0x2ffb588e30bd67f3244a3ea1b57f8d08498ebb2512aaef29c177d69d69dc9707
